POSTAL_CODE,STRATEGIC_CITY_NAME,region_id,region_seq,AREA_NAME,new_region_name,area_type
30641,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30645,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30650,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30655,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30656,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30663,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30666,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30677,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30680,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30683,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
31004,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31005,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31008,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31013,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31020,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31028,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31029,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31030,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31032,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31044,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31046,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31047,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31050,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31052,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31066,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31069,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31085,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
31086,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31088,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31093,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31095,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31098,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31099,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
31136,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
31146,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
31150,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
31156,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
31169,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
31195,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
31196,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
